 Configuration with minimum energy:          104
 Configuration with maximum energy:           18

Temperature=      1.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
       136         4  0.353894E+00      0.0000      0.0000
       137         4  0.413617E+00      0.0000      0.0000
       138         4  0.350925E+00      0.0000      0.0000
       139         1  0.437157E+00      0.0000      0.0000


Temperature=    300.0000
         m  omega(m)   Erel(m)/eV       p(m)      p(m)/omega(m)
         1         1  0.657241E+00      0.0000      0.0000
         2         4  0.676104E+00      0.0000      0.0000
         3         4  0.511474E+00      0.0000      0.0000
         4         4  0.549513E+00      0.0000      0.0000
         5         4  0.626745E+00      0.0000      0.0000
         6         2  0.380670E+00      0.0000      0.0000
         7         4  0.449658E+00      0.0000      0.0000
         8         4  0.371996E+00      0.0000      0.0000
         9         2  0.570011E+00      0.0000      0.0000
        10         2  0.428411E+00      0.0000      0.0000
        11         4  0.320222E+00      0.0000      0.0000
        12         4  0.231652E+00      0.0001      0.0000
        13         2  0.411601E+00      0.0000      0.0000
        14         2  0.516632E+00      0.0000      0.0000
        15         2  0.364521E+00      0.0000      0.0000
        16         2  0.385124E+00      0.0000      0.0000
        17         2  0.721380E+00      0.0000      0.0000
        18         2  0.860473E+00      0.0000      0.0000
        19         2  0.695285E+00      0.0000      0.0000
        20         4  0.147576E+00      0.0019      0.0005
        21         4  0.259659E+00      0.0000      0.0000
        22         4  0.428608E+00      0.0000      0.0000
        23         4  0.723422E+00      0.0000      0.0000
        24         1  0.402530E+00      0.0000      0.0000
        25         4  0.576426E+00      0.0000      0.0000
        26         4  0.590065E+00      0.0000      0.0000
        27         4  0.345216E+00      0.0000      0.0000
        28         4  0.661692E+00      0.0000      0.0000
        29         4  0.500152E+00      0.0000      0.0000
        30         4  0.413146E+00      0.0000      0.0000
        31         4  0.295078E+00      0.0000      0.0000
        32         4  0.262329E+00      0.0000      0.0000
        33         4  0.430092E+00      0.0000      0.0000
        34         4  0.206188E+00      0.0002      0.0000
        35         4  0.591764E+00      0.0000      0.0000
        36         4  0.315069E+00      0.0000      0.0000
        37         4  0.429473E+00      0.0000      0.0000
        38         4  0.430952E+00      0.0000      0.0000
        39         4  0.771260E+00      0.0000      0.0000
        40         4  0.476378E+00      0.0000      0.0000
        41         4  0.360618E+00      0.0000      0.0000
        42         4  0.365465E+00      0.0000      0.0000
        43         4  0.287392E+00      0.0000      0.0000
        44         4  0.336737E+00      0.0000      0.0000
        45         4  0.491324E+00      0.0000      0.0000
        46         4  0.137363E+00      0.0028      0.0007
        47         4  0.122514E+00      0.0050      0.0013
        48         4  0.207060E+00      0.0002      0.0000
        49         4  0.707077E+00      0.0000      0.0000
        50         4  0.245710E+00      0.0000      0.0000
        51         4  0.340956E-01      0.1534      0.0383
        52         4  0.102580E+00      0.0108      0.0027
        53         4  0.149203E+00      0.0018      0.0004
        54         4  0.145486E+00      0.0021      0.0005
        55         4  0.283184E+00      0.0000      0.0000
        56         4  0.470402E+00      0.0000      0.0000
        57         4  0.260907E+00      0.0000      0.0000
        58         4  0.816804E+00      0.0000      0.0000
        59         4  0.226984E+00      0.0001      0.0000
        60         4  0.533013E+00      0.0000      0.0000
        61         4  0.506448E+00      0.0000      0.0000
        62         4  0.554409E+00      0.0000      0.0000
        63         4  0.262715E+00      0.0000      0.0000
        64         4  0.489625E+00      0.0000      0.0000
        65         4  0.496621E+00      0.0000      0.0000
        66         4  0.408433E+00      0.0000      0.0000
        67         4  0.579666E+00      0.0000      0.0000
        68         4  0.620441E+00      0.0000      0.0000
        69         4  0.296904E+00      0.0000      0.0000
        70         4  0.173544E+00      0.0007      0.0002
        71         4  0.403724E+00      0.0000      0.0000
        72         4  0.422531E+00      0.0000      0.0000
        73         4  0.341036E+00      0.0000      0.0000
        74         4  0.263430E+00      0.0000      0.0000
        75         4  0.111998E+00      0.0075      0.0019
        76         4  0.369544E+00      0.0000      0.0000
        77         4  0.345887E+00      0.0000      0.0000
        78         4  0.124290E+00      0.0047      0.0012
        79         4  0.174144E+00      0.0007      0.0002
        80         4  0.310063E+00      0.0000      0.0000
        81         2  0.635950E+00      0.0000      0.0000
        82         4  0.474602E+00      0.0000      0.0000
